2023-03-22 10:04:39.090 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 10:04:39.249 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 10:04:39.282 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 10:05:56.869 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 10:05:57.006 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 10:05:57.009 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 10:06:02.616 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T10:06:02.5916940-03:00"
2023-03-22 10:06:03.232 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T10:06:03.2323680-03:00"
2023-03-22 10:06:47.070 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 10:06:47.176 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 10:06:47.179 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 10:06:49.725 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T10:06:49.7084887-03:00"
2023-03-22 10:06:49.739 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T10:06:49.7389406-03:00"
2023-03-22 10:38:17.234 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 10:38:17.375 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 10:38:17.378 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 10:38:22.341 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T10:38:22.3322693-03:00"
2023-03-22 10:38:22.347 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T10:38:22.3472515-03:00"
2023-03-22 10:38:45.212 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2023-03-22 16:40:51.949 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 16:40:52.071 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 16:40:52.075 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 16:40:57.510 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T16:40:57.4764499-03:00"
2023-03-22 16:40:57.703 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T16:40:57.7034169-03:00"
2023-03-22 16:47:08.054 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2023-03-22 16:48:14.562 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 16:48:14.691 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 16:48:14.694 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 16:48:37.632 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T16:48:37.6205215-03:00"
2023-03-22 16:48:37.640 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T16:48:37.6399424-03:00"
2023-03-22 16:49:30.445 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 16:49:30.596 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 16:49:30.599 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 16:49:32.296 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T16:49:32.2793459-03:00"
2023-03-22 16:49:32.342 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T16:49:32.3419808-03:00"
2023-03-22 16:51:46.547 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 16:51:46.632 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 16:51:46.635 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 16:51:48.959 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T16:51:48.9481894-03:00"
2023-03-22 16:51:48.966 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T16:51:48.9663900-03:00"
2023-03-22 16:56:01.253 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
